ablation_num,comparison,n_a,n_b,mean_a,mean_b,diff_mean,cohens_d,t_stat,p_value
200,haofang vs none(no_ablation),15,15,0.8699121219909628,0.8880203569482308,-0.018108234957267988,-3.5845271129159917,t(25)=-9.82,0.0
200,haofang vs random,15,15,0.8699121219909628,0.8818581989374257,-0.01194607694646288,-2.4637419298402183,t(23)=-6.75,0.0
200,random vs none(no_ablation),15,15,0.8818581989374257,0.8880203569482308,-0.006162158010805108,-1.651532842273338,t(27)=-4.52,0.0
200,targeted_combined(haofang+wanyue) vs none(no_ablation),30,15,0.870383506785522,0.8880203569482308,-0.017636850162708773,-3.7131504710342362,t(35)=-12.73,0.0
200,targeted_combined(haofang+wanyue) vs random,30,15,0.870383506785522,0.8818581989374257,-0.011474692151903665,-2.4890897451235614,t(39)=-8.93,0.0
200,wanyue vs haofang,15,15,0.870854891580081,0.8699121219909628,0.0009427695891182086,0.18333632512940493,t(25)=0.50,0.62
200,wanyue vs none(no_ablation),15,15,0.870854891580081,0.8880203569482308,-0.01716546536814978,-4.181172944316402,t(28)=-11.45,0.0
200,wanyue vs random,15,15,0.870854891580081,0.8818581989374257,-0.011003307357344672,-2.855891854528935,t(27)=-7.82,0.0
250,haofang vs none(no_ablation),15,15,0.8283303272425154,0.8880203569482308,-0.05969002970571535,-8.061955424970042,t(19)=-22.08,0.0
250,haofang vs random,15,15,0.8283303272425154,0.8752842637717959,-0.04695393652928048,-5.765464313102484,t(24)=-15.79,0.0
250,random vs none(no_ablation),15,15,0.8752842637717959,0.8880203569482308,-0.01273609317643487,-2.431398457813421,t(24)=-6.66,0.0
250,targeted_combined(haofang+wanyue) vs none(no_ablation),30,15,0.8217247386022274,0.8880203569482308,-0.0662956183460034,-7.198357765761529,t(41)=-29.65,0.0
250,targeted_combined(haofang+wanyue) vs random,30,15,0.8217247386022274,0.8752842637717959,-0.05355952516956852,-5.574471778900086,t(42)=-20.96,0.0
250,wanyue vs haofang,15,15,0.8151191499619392,0.8283303272425154,-0.013211177280576192,-1.5199899530148901,t(26)=-4.16,0.0
250,wanyue vs none(no_ablation),15,15,0.8151191499619392,0.8880203569482308,-0.07290120698629154,-12.040653046251446,t(21)=-32.97,0.0
250,wanyue vs random,15,15,0.8151191499619392,0.8752842637717959,-0.060165113809856674,-8.669214962253415,t(27)=-23.74,0.0
300,haofang vs none(no_ablation),15,15,0.7701841614513064,0.8880203569482308,-0.11783619549692437,-12.47090178694075,t(17)=-34.15,0.0
300,haofang vs random,15,15,0.7701841614513064,0.8830045780217746,-0.11282041657046815,-11.750455579872968,t(18)=-32.18,0.0
300,random vs none(no_ablation),15,15,0.8830045780217746,0.8880203569482308,-0.005015778926456216,-1.1556852957705956,t(27)=-3.16,0.0
300,targeted_combined(haofang+wanyue) vs none(no_ablation),30,15,0.7476516787247421,0.8880203569482308,-0.14036867822348864,-6.527334843563884,t(32)=-28.86,0.0
300,targeted_combined(haofang+wanyue) vs random,30,15,0.7476516787247421,0.8830045780217746,-0.13535289929703243,-6.281262382877005,t(33)=-27.60,0.0
300,wanyue vs haofang,15,15,0.7251191959981779,0.7701841614513064,-0.04506496545312855,-3.582303106321357,t(28)=-9.81,0.0
300,wanyue vs none(no_ablation),15,15,0.7251191959981779,0.8880203569482308,-0.16290116095005291,-17.67912842412253,t(17)=-48.42,0.0
300,wanyue vs random,15,15,0.7251191959981779,0.8830045780217746,-0.1578853820235967,-16.848992914966782,t(18)=-46.14,0.0
350,haofang vs none(no_ablation),15,15,0.6631561306957242,0.8880203569482308,-0.22486422625250657,-23.839856019351025,t(17)=-65.29,0.0
350,haofang vs random,15,15,0.6631561306957242,0.8837436513161164,-0.22058752062039222,-22.874979405991287,t(18)=-62.65,0.0
350,random vs none(no_ablation),15,15,0.8837436513161164,0.8880203569482308,-0.004276705632114353,-0.9573855521776693,t(27)=-2.62,0.01
350,targeted_combined(haofang+wanyue) vs none(no_ablation),30,15,0.6493406303069919,0.8880203569482308,-0.23867972664123893,-14.457465629348517,t(33)=-63.17,0.0
350,targeted_combined(haofang+wanyue) vs random,30,15,0.6493406303069919,0.8837436513161164,-0.23440302100912458,-14.130668341993037,t(35)=-60.90,0.0
350,wanyue vs haofang,15,15,0.6355251299182593,0.6631561306957242,-0.027631000777464942,-1.9247128036737446,t(27)=-5.27,0.0
350,wanyue vs none(no_ablation),15,15,0.6355251299182593,0.8880203569482308,-0.2524952270299715,-21.889513595165532,t(16)=-59.95,0.0
350,wanyue vs random,15,15,0.6355251299182593,0.8837436513161164,-0.24821852139785716,-21.20063797579094,t(17)=-58.06,0.0
