ablation_num,group,n,mean,sd,se,t_crit,ci_low,ci_high
200,haofang,15,0.8699121219909629,0.005925301903736402,0.0015299063729614791,2.1447866879169273,0.8666307991684759,0.87319344481345
200,none,15,0.8880203569482308,0.003991455605492148,0.0010305894058131554,2.1447866879169273,0.8858099625099345,0.8902307513865271
200,random,15,0.8818581989374256,0.0034513208386660636,0.0008911272087048186,2.1447866879169273,0.8799469211629549,0.8837694767118962
200,wanyue,15,0.870854891580081,0.00421630248782214,0.00108864462119387,2.1447866879169273,0.868519981088672,0.87318980207149
250,haofang,15,0.8283303272425155,0.009680092241467791,0.002499389069397092,2.1447866879169273,0.8229696708385476,0.8336909836464835
250,none,15,0.8880203569482308,0.003991455605492148,0.0010305894058131554,2.1447866879169273,0.8858099625099345,0.8902307513865271
250,random,15,0.8752842637717958,0.006240613661235057,0.001611319518671858,2.1447866879169273,0.8718283271181677,0.8787402004254239
250,wanyue,15,0.8151191499619392,0.007575247922251728,0.0019559206030848853,2.1447866879169273,0.8109241174898203,0.8193141824340582
300,haofang,15,0.7701841614513064,0.01275270073546373,0.00329273317117454,2.1447866879169273,0.7631219511789088,0.777246371723704
300,none,15,0.8880203569482308,0.003991455605492148,0.0010305894058131554,2.1447866879169273,0.8858099625099345,0.8902307513865271
300,random,15,0.8830045780217746,0.004662730482076065,0.0012039118336622853,2.1447866879169273,0.88042244394751,0.8855867120960391
300,wanyue,15,0.7251191959981781,0.012404664370604425,0.0032028705681762296,2.1447866879169273,0.7182497218404328,0.7319886701559234
350,haofang,15,0.6631561306957242,0.012728084703874858,0.0032863773391483123,2.1447866879169273,0.656107552327247,0.6702047090642014
350,none,15,0.8880203569482308,0.003991455605492148,0.0010305894058131554,2.1447866879169273,0.8858099625099345,0.8902307513865271
350,random,15,0.8837436513161164,0.004896699043930264,0.0012643222565687795,2.1447866879169273,0.8810319497709906,0.8864553528612422
350,wanyue,15,0.6355251299182594,0.015817081712062718,0.0040839529370947205,2.1447866879169273,0.6267659220246994,0.6442843378118194
