ablation_num,group,n,mean,sd,metric,se,t_crit,ci_low,ci_high
200,haofang,15,0.9384673115463077,0.00711978807020054,hf_precision,0.0018383213749608622,2.1447866879169273,0.9345245043331785,0.9424101187594369
200,none,15,0.9221059779312023,0.005740248193013068,hf_precision,0.001482125710309122,2.1447866879169273,0.9189271344379119,0.9252848214244928
200,random,15,0.9196727214787094,0.005799585522983114,hf_precision,0.0014974465430279487,2.1447866879169273,0.9164610180673558,0.922884424890063
200,wanyue,15,0.9230994160756099,0.004629201347955625,hf_precision,0.001195254648458204,2.1447866879169273,0.9205358498169258,0.9256629823342939
250,haofang,15,0.9373460640452727,0.008603623103907292,hf_precision,0.002221445933231887,2.1447866879169273,0.9325815363797497,0.9421105917107956
250,none,15,0.9221059779312023,0.005740248193013068,hf_precision,0.001482125710309122,2.1447866879169273,0.9189271344379119,0.9252848214244928
250,random,15,0.9220842870475622,0.0049724938217761,hf_precision,0.001283892384057207,2.1447866879169273,0.9193306117535184,0.924837962341606
250,wanyue,15,0.9264875523979025,0.013968938880302172,hf_precision,0.0036067645098399725,2.1447866879169273,0.9187518118907465,0.9342232929050585
300,haofang,15,0.9379813238426566,0.016405657408038895,hf_precision,0.004235922528327931,2.1447866879169273,0.9288961735928515,0.9470664740924618
300,none,15,0.9221059779312023,0.005740248193013068,hf_precision,0.001482125710309122,2.1447866879169273,0.9189271344379119,0.9252848214244928
300,random,15,0.9198450704293528,0.003631611868662117,hf_precision,0.0009376781524811717,2.1447866879169273,0.9178339508103607,0.921856190048345
300,wanyue,15,0.9230580998673348,0.01327752796337816,hf_precision,0.003428242978731126,2.1447866879169273,0.9157052499636076,0.930410949771062
350,haofang,15,0.8915709403921235,0.024584275896590048,hf_precision,0.006347632741737445,2.1447866879169273,0.8779566221878594,0.9051852585963875
350,none,15,0.9221059779312023,0.005740248193013068,hf_precision,0.001482125710309122,2.1447866879169273,0.9189271344379119,0.9252848214244928
350,random,15,0.918224897923956,0.0060501129447870705,hf_precision,0.001562132445188949,2.1447866879169273,0.9148744570507517,0.9215753387971604
350,wanyue,15,0.9184606935140045,0.018345879412049,hf_precision,0.004736885695626353,2.1447866879169273,0.908301084131841,0.928620302896168
200,haofang,15,0.8549476709047976,0.004275784794829934,wy_precision,0.001104002886822882,2.1447866879169273,0.852579820209718,0.8573155215998772
200,none,15,0.865572103444278,0.004874869577100338,wy_precision,0.0012586859124695201,2.1447866879169273,0.8628724906549449,0.8682717162336112
200,random,15,0.8575597046423941,0.005096296762038044,wy_precision,0.0013158581657802752,2.1447866879169273,0.8547374695652418,0.8603819397195464
200,wanyue,15,0.8405850344530529,0.005623660625759331,wy_precision,0.0014520229298858845,2.1447866879169273,0.8374707550024835,0.8436993139036223
250,haofang,15,0.8561480513693601,0.005936985453527297,wy_precision,0.001532923052545794,2.1447866879169273,0.8528602584126589,0.8594358443260613
250,none,15,0.865572103444278,0.004874869577100338,wy_precision,0.0012586859124695201,2.1447866879169273,0.8628724906549449,0.8682717162336112
250,random,15,0.8465546841204425,0.009317509034007024,wy_precision,0.0024057704877897576,2.1447866879169273,0.8413948196040477,0.8517145486368374
250,wanyue,15,0.8540236100835799,0.008946347508797674,wy_precision,0.00230993699406384,2.1447866879169273,0.8490692879687849,0.8589779321983748
300,haofang,15,0.861374450880778,0.013630076444663313,wy_precision,0.0035192706051810005,2.1447866879169273,0.8538263661356085,0.8689225356259476
300,none,15,0.865572103444278,0.004874869577100338,wy_precision,0.0012586859124695201,2.1447866879169273,0.8628724906549449,0.8682717162336112
300,random,15,0.8592021940430964,0.006679558188930405,wy_precision,0.0017246545083833887,2.1447866879169273,0.8555031780122598,0.862901210073933
300,wanyue,15,0.8803851960778682,0.01669594690800082,wy_precision,0.004310874954923359,2.1447866879169273,0.8711392888612741,0.8896311032944624
350,haofang,15,0.8810095410713789,0.013177258894831852,wy_precision,0.0034023536165564876,2.1447866879169273,0.8737122183270025,0.8883068638157552
350,none,15,0.865572103444278,0.004874869577100338,wy_precision,0.0012586859124695201,2.1447866879169273,0.8628724906549449,0.8682717162336112
350,random,15,0.8612594262441671,0.005766696467672246,wy_precision,0.0014889546254618499,2.1447866879169273,0.8580659361845642,0.86445291630377
350,wanyue,15,0.89112875902768,0.014218414839204652,wy_precision,0.0036711789254472017,2.1447866879169273,0.8832548633394196,0.8990026547159403
